GF DoITT Submitted to CB (A),Site ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,DoITT: DoITT NTP Issued (A),GF CB Comment Period Ends (A),DoITT: GF DoITT Submitted to CB (A),BIN,BBL,Census Tract,Location 1,Legacy ID,Site Type,Initial Submission (A),Final Submission (A)
12/15/2017,mn-02-GF0095,40.72950,-74.00491,Manhattan,C2-6,3,102,75 CARMINE STREET,7 AVENUE,BEDFORD STREET,SE,10014,,No,0,West Village,82407,,02/13/2018,12/06/2017,1066793,1005287501,1006700,"(40.72949855, -74.00490616)",LINK-020432,New Site,10/10/2017,
12/15/2017,mn-02-GF0094,40.73189,-74.00367,Manhattan,C2-6,3,102,61 7 AVENUE SOUTH,COMMERCE STREET,BLEECKER STREET,SE,10014,,No,1,West Village,82406,,02/13/2018,12/06/2017,1009947,1005870021,1006700,"(40.73189179, -74.0036707)",LINK-020431,New Site,10/10/2017,
01/10/2018,mn-08-GF0073,40.78696,-73.95448,Manhattan,C1-5,4,108,1366 MADISON AVENUE,95 STREET,96 STREET,MIDBLOCK,10128,,No,1,Upper East Side-Carnegie Hill,82367,,03/11/2018,12/22/2017,1047436,1015070056,1016001,"(40.78696469, -73.95448023)",LINK-020410,New Site,09/28/2017,
02/02/2018,mn-11-GF0074,40.79117,-73.95141,Manhattan,C2-5,8,111,1490 MADISON AVENUE,102 STREET,103 STREET,NE,10029,,No,0,East Harlem South,82378,,04/03/2018,01/23/2018,1051493,1016080017,1016800,"(40.79117041, -73.95140762)",LINK-020411,New Site,09/28/2017,
12/15/2017,mn-02-GF0076,40.72426,-74.00500,Manhattan,M1-6,3,102,121 6 AVENUE,6 AVENUE,VARICK STREET,SW,10013,Hudson Square,Yes,0,SoHo-TriBeCa-Civic Center-Little Italy,82092,,02/13/2018,12/06/2017,1083493,1004777501,1003700,"(40.72426124, -74.00499516)",LINK-020413,New Site,07/28/2017,
10/02/2017,mn-08-GF0078,40.77542,-73.95029,Manhattan,C1-9,5,108,1608 1 AVENUE,EAST 84 STREET,EAST 83 STREET,MIDBLOCK,10028,,No,0,Yorkville,82058,,12/01/2017,09/28/2017,1085139,1015630004,1013600,"(40.77541825, -73.9502902)",LINK-020415,New Site,07/28/2017,
12/15/2017,mn-01-GF0116,40.72172,-74.00613,Manhattan,C6-2A,1,101,13 LAIGHT STREET,VARICK STREET,ST. JOHNS LANE,,10013,,No,0,SoHo-TriBeCa-Civic Center-Little Italy,82018,,02/13/2018,12/06/2017,1002735,1002120018,1003300,"(40.72172363, -74.00612791)",LINK-020453,New Site,07/05/2017,
12/15/2017,mn-01-GF0121,40.70668,-74.01250,Manhattan,C5-5,1,101,56 BROADWAY,EXCHANGE PLACE,MORRIS AVENUE,SE,10004,Alliance for Downtown NY,Yes,0,Battery Park City-Lower Manhattan,82010,,02/13/2018,12/06/2017,1000814,1000220028,1000900,"(40.70667684, -74.01249715)",LINK-020458,New Site,06/30/2017,
12/15/2017,mn-02-GF0085,40.73674,-74.00130,Manhattan,C2-6,3,102,75 GREENWICH AVENUE,WEST 11 STREET,7 AVENUE,NW,10014,,No,1,West Village,82411,,02/13/2018,12/06/2017,1010989,1006140061,1007700,"(40.73674366, -74.00129751)",LINK-020422,New Site,10/11/2017,
02/16/2018,mn-12-GF0153,40.84562,-73.93875,Manhattan,C1-4,10,112,4121 BROADWAY,WEST 174 STREET,WEST 175 STREET,NW,10033,,No,0,Washington Heights South,82361,,04/17/2018,12/06/2017,1063518,1021420244,1026300,"(40.84561736, -73.93874611)",LINK-020293,New Site,09/28/2017,
12/15/2017,mn-01-GF0086,40.71131,-74.01012,Manhattan,C5-5,1,101,184 FULTON STREET,CHURCH STREET,BROADWAY,SW,10007,Alliance for Downtown NY,Yes,0,Battery Park City-Lower Manhattan,82022,,02/13/2018,12/06/2017,1075702,1000800004,1001300,"(40.71131055379691, -74.0101196914062)",LINK-020423,New Site,07/05/2017,
12/15/2017,mn-01-GF0114,40.71565,-74.00901,Manhattan,C6-3A,1,101,95 WEST BROADWAY,CHAMBERS STREET,READE STREET,,10013,,No,1,SoHo-TriBeCa-Civic Center-Little Italy,82053,,02/13/2018,12/06/2017,1001584,1001450012,1002100,"(40.71564579, -74.00901213)",LINK-020451,New Site,07/05/2017,
08/31/2017,BX-01-GF22114,40.81334,-73.91004,Bronx,C2-4,8,201,674 EAST 149 STREET,TRINITY AVENUE,JACKSON AVENUE,SE,10455,,No,0,Mott Haven-Port Morris,82098,,10/30/2017,08/22/2017,2091283,2025570083,2003500,"(40.81334437, -73.91003882)",LINK-020543,New Site,07/28/2017,
08/31/2017,BX-01-GF22181,40.81280,-73.90647,Bronx,C1-4,8,201,787 EAST 149 STREET,TINTON AVENUE,WALES AVENUE,NW,10455,,No,0,Melrose South-Mott Haven North,82067,,10/30/2017,08/22/2017,2086465,2026530001,2007900,"(40.81280294, -73.90646979)",LINK-020494,New Site,07/28/2017,
03/09/2018,BX-01-GF22116,40.81587,-73.90894,Bronx,C2-4,8,201,642 WESTCHESTER AVENUE,TRINITY AVENUE,JACKSON AVENUE,SE,10455,,No,0,Melrose South-Mott Haven North,82627,,05/08/2018,03/09/2018,2004428,2026230191,2007300,"(40.81586572, -73.90894428)",LINK-020545,New Site,02/14/2018,
