Census Tract,FIPS Code,Formatted FIPS,% of households w/o broadband
"36047040700, NY",36047040700,36047040700,N/A
"36047069601, NY",36047069601,36047069601,30.15
"36081102900, NY",36081102900,36081102900,19.24
"36061024200, NY",36061024200,36061024200,46.2
"36081124100, NY",36081124100,36081124100,19.04
"36047111600, NY",36047111600,36047111600,19.08
"36047005602, NY",36047005602,36047005602,26.71
"36081122300, NY",36081122300,36081122300,29.45
"36061006900, NY",36061006900,36061006900,14.29
"36081083800, NY",36081083800,36081083800,21.22
"36005005100, NY",36005005100,36005005100,40.81
"36085002001, NY",36085002001,36085002001,13.6
"36047033000, NY",36047033000,36047033000,31.2
"36047099800, NY",36047099800,36047099800,16.24
"36005001600, NY",36005001600,36005001600,37.41
"36081061302, NY",36081061302,36081061302,N/A
"36005004200, NY",36005004200,36005004200,27.41
"36081049200, NY",36081049200,36081049200,35.72
"36085024700, NY",36085024700,36085024700,30.43
"36047120800, NY",36047120800,36047120800,37.21
"36081124700, NY",36081124700,36081124700,20
"36085007500, NY",36085007500,36085007500,26.06
"36047058900, NY",36047058900,36047058900,29.47
"36081040400, NY",36081040400,36081040400,33.92
"36081049900, NY",36081049900,36081049900,25.36
"36081155101, NY",36081155101,36081155101,42.5
"36061017800, NY",36061017800,36061017800,35.51
"36061021900, NY",36061021900,36061021900,45.31
"36081041400, NY",36081041400,36081041400,48.25
"36081072300, NY",36081072300,36081072300,18.1
"36081017900, NY",36081017900,36081017900,21.26
"36085013201, NY",36085013201,36085013201,21.73
"36081087100, NY",36081087100,36081087100,43.74
"36081003700, NY",36081003700,36081003700,N/A
"36081099801, NY",36081099801,36081099801,23.16
"36085012500, NY",36085012500,36085012500,36.09
"36081129103, NY",36081129103,36081129103,17.22
"36081108500, NY",36081108500,36081108500,25.06
"36081122702, NY",36081122702,36081122702,37.21
"36061007500, NY",36061007500,36061007500,22.85
"36061000700, NY",36061000700,36061000700,10.3
"36061001002, NY",36061001002,36061001002,75.65
"36081114100, NY",36081114100,36081114100,19.35
"36005018400, NY",36005018400,36005018400,29.5
"36085014608, NY",36085014608,36085014608,11.08
"36081008800, NY",36081008800,36081008800,15.76
"36005002800, NY",36005002800,36005002800,33.24
"36081069702, NY",36081069702,36081069702,30.54
"36081109700, NY",36081109700,36081109700,18.47
"36061008602, NY",36061008602,36061008602,N/A
"36005034800, NY",36005034800,36005034800,35.43
"36081062200, NY",36081062200,36081062200,22.12
"36047060000, NY",36047060000,36047060000,23
"36081080302, NY",36081080302,36081080302,27.72
"36081032900, NY",36081032900,36081032900,33.05
"36085027706, NY",36085027706,36085027706,27.93
"36005033700, NY",36005033700,36005033700,22.72
"36061006000, NY",36061006000,36061006000,15.57
"36047003800, NY",36047003800,36047003800,23.39
"36061000600, NY",36061000600,36061000600,56.47
"36081062600, NY",36081062600,36081062600,31.8
"36081103201, NY",36081103201,36081103201,44.67
"36047114400, NY",36047114400,36047114400,36.18
"36061001501, NY",36061001501,36061001501,20.51
"36081028400, NY",36081028400,36081028400,43.39
"36005026400, NY",36005026400,36005026400,25.9
"36005029302, NY",36005029302,36005029302,15.31
"36081053100, NY",36081053100,36081053100,24.08
"36047096000, NY",36047096000,36047096000,N/A
"36047056300, NY",36047056300,36047056300,37.42
"36061015500, NY",36061015500,36061015500,13.02
"36081061602, NY",36081061602,36081061602,29.94
"36061019900, NY",36061019900,36061019900,19.76
"36081147100, NY",36081147100,36081147100,18.84
"36081005400, NY",36081005400,36081005400,16.13
"36047059401, NY",36047059401,36047059401,20.56
"36005031900, NY",36005031900,36005031900,N/A
"36005030000, NY",36005030000,36005030000,29.21
"36081048400, NY",36081048400,36081048400,25.66
"36047105801, NY",36047105801,36047105801,45.33
"36081055200, NY",36081055200,36081055200,22.34
"36005026900, NY",36005026900,36005026900,35.83
"36005018500, NY",36005018500,36005018500,34.62
"36081029900, NY",36081029900,36081029900,N/A
"36061017100, NY",36061017100,36061017100,11.17
"36061018300, NY",36061018300,36061018300,18.01
"36061023600, NY",36061023600,36061023600,33.03
"36005039500, NY",36005039500,36005039500,39.47
"36005038600, NY",36005038600,36005038600,34.88
"36061031900, NY",36061031900,36061031900,N/A
"36081144700, NY",36081144700,36081144700,25.22
"36061017500, NY",36061017500,36061017500,17.67
"36085003600, NY",36085003600,36085003600,23.65
"36081030902, NY",36081030902,36081030902,22.84
"36061017900, NY",36061017900,36061017900,18.64
"36081030904, NY",36081030904,36081030904,31.62
"36061018700, NY",36061018700,36061018700,14.43
"36047077200, NY",36047077200,36047077200,24.39
"36081064600, NY",36081064600,36081064600,34.53
"36005035600, NY",36005035600,36005035600,31.92
"36047085200, NY",36047085200,36047085200,N/A
"36061019100, NY",36061019100,36061019100,17.58
"36081065000, NY",36081065000,36081065000,29.88
"36081117100, NY",36081117100,36081117100,38.74
"36081022001, NY",36081022001,36081022001,20.66
"36061000800, NY",36061000800,36061000800,49.41
"36005002000, NY",36005002000,36005002000,31
"36081006201, NY",36081006201,36081006201,31.09
"36061022500, NY",36061022500,36061022500,22.78
"36081059500, NY",36081059500,36081059500,28.09
"36005030701, NY",36005030701,36005030701,18.78
"36047007700, NY",36047007700,36047007700,19.17
"36081097204, NY",36081097204,36081097204,42.99
"36047152200, NY",36047152200,36047152200,17.43
"36005014400, NY",36005014400,36005014400,47.77
"36061024100, NY",36061024100,36061024100,37.93
"36081047900, NY",36081047900,36081047900,20.02
"36085031901, NY",36085031901,36085031901,56.58
"36081066000, NY",36081066000,36081066000,19.7
"36061019500, NY",36061019500,36061019500,11.1
"36081113900, NY",36081113900,36081113900,25.15
"36081034700, NY",36081034700,36081034700,31.8
"36081109900, NY",36081109900,36081109900,23.39
"36081077904, NY",36081077904,36081077904,25.17
"36061001502, NY",36061001502,36061001502,10.08
"36047005601, NY",36047005601,36047005601,19.04
"36085018701, NY",36085018701,36085018701,24.89
"36081140300, NY",36081140300,36081140300,15.46
"36081044000, NY",36081044000,36081044000,35.57
"36047035400, NY",36047035400,36047035400,31.53
"36081061601, NY",36081061601,36081061601,27.64
"36081081800, NY",36081081800,36081081800,17.97
"36081051200, NY",36081051200,36081051200,21.44
"36081071100, NY",36081071100,36081071100,18.18
"36081021400, NY",36081021400,36081021400,28.26
"36061019200, NY",36061019200,36061019200,48.98
"36081145900, NY",36081145900,36081145900,24.67
"36047094401, NY",36047094401,36047094401,21.53
"36081036600, NY",36081036600,36081036600,46.92
"36047056100, NY",36047056100,36047056100,27.53
"36005044400, NY",36005044400,36005044400,42.31
"36081032800, NY",36081032800,36081032800,55.01
"36081081400, NY",36081081400,36081081400,17.84
"36061011700, NY",36061011700,36061011700,15.8
"36081139900, NY",36081139900,36081139900,9.01
"36081050700, NY",36081050700,36081050700,16.35
"36081079200, NY",36081079200,36081079200,28.77
"36081074900, NY",36081074900,36081074900,10.46
"36047005900, NY",36047005900,36047005900,21.12
"36081075702, NY",36081075702,36081075702,18.47
"36081112900, NY",36081112900,36081112900,16.57
"36081146700, NY",36081146700,36081146700,15.47
"36081143500, NY",36081143500,36081143500,19.78
"36047062200, NY",36047062200,36047062200,20.92
"36005011502, NY",36005011502,36005011502,46.11
"36047062000, NY",36047062000,36047062000,21.65
"36005043400, NY",36005043400,36005043400,43.34
"36081030903, NY",36081030903,36081030903,18.53
"36005020000, NY",36005020000,36005020000,34.94
"36005018900, NY",36005018900,36005018900,39.83
"36081145102, NY",36081145102,36081145102,15.25
"36081069000, NY",36081069000,36081069000,40.5
"36061022900, NY",36061022900,36061022900,31.75
"36081048900, NY",36081048900,36081048900,21.2
"36081039400, NY",36081039400,36081039400,47.09
"36047098200, NY",36047098200,36047098200,40.4
"36005023800, NY",36005023800,36005023800,27.72
"36085017300, NY",36085017300,36085017300,37.53
"36061003300, NY",36061003300,36061003300,8.23
"36081048500, NY",36081048500,36081048500,18.07
"36081144100, NY",36081144100,36081144100,12.11
"36061016700, NY",36061016700,36061016700,12.12
"36005028800, NY",36005028800,36005028800,22.14
"36047037000, NY",36047037000,36047037000,26.91
"36047002200, NY",36047002200,36047002200,39.5
"36081050000, NY",36081050000,36081050000,43.26
"36005032600, NY",36005032600,36005032600,35.81
"36081084601, NY",36081084601,36081084601,26.3
"36061024302, NY",36061024302,36061024302,50.35
"36081125700, NY",36081125700,36081125700,29.98
"36061021000, NY",36061021000,36061021000,37.32
"36061013600, NY",36061013600,36061013600,11.65
"36047004700, NY",36047004700,36047004700,8.41
"36061001001, NY",36061001001,36061001001,44.31
"36005006000, NY",36005006000,36005006000,15.79
"36005041900, NY",36005041900,36005041900,30.28
"36081066501, NY",36081066501,36081066501,15.19
"36047032600, NY",36047032600,36047032600,45.2
"36047119800, NY",36047119800,36047119800,30.05
"36081146300, NY",36081146300,36081146300,19.98
"36081008600, NY",36081008600,36081008600,23.27
"36047005201, NY",36047005201,36047005201,44.28
"36081023200, NY",36081023200,36081023200,26
"36085001100, NY",36085001100,36085001100,31.31
"36081080301, NY",36081080301,36081080301,33.47
"36061022301, NY",36061022301,36061022301,37.05
"36047030500, NY",36047030500,36047030500,28.9
"36005021800, NY",36005021800,36005021800,32.31
"36047059402, NY",36047059402,36047059402,22.44
"36047080800, NY",36047080800,36047080800,79.59
"36005015700, NY",36005015700,36005015700,43.28
"36047123700, NY",36047123700,36047123700,58.72
"36047045300, NY",36047045300,36047045300,34.79
"36061011600, NY",36061011600,36061011600,19.86
"36047062600, NY",36047062600,36047062600,21.61
"36047150200, NY",36047150200,36047150200,12.51
"36081056700, NY",36081056700,36081056700,15.78
"36061021703, NY",36061021703,36061021703,N/A
"36081115700, NY",36081115700,36081115700,39.44
"36081092500, NY",36081092500,36081092500,42.72
"36081047500, NY",36081047500,36081047500,18.52
"36081157102, NY",36081157102,36081157102,11.05
"36061001300, NY",36061001300,36061001300,5.64
"36085014100, NY",36085014100,36085014100,25.3
"36005009200, NY",36005009200,36005009200,30.36
"36081115900, NY",36081115900,36081115900,33.21
"36047010100, NY",36047010100,36047010100,35.28
"36081114700, NY",36081114700,36081114700,27.68
"36005007800, NY",36005007800,36005007800,38.07
"36081064500, NY",36081064500,36081064500,21.8
"36061030900, NY",36061030900,36061030900,43.55
"36005026602, NY",36005026602,36005026602,29.69
"36047119600, NY",36047119600,36047119600,38.79
"36047001500, NY",36047001500,36047001500,15.2
"36005015200, NY",36005015200,36005015200,29.89
"36081084900, NY",36081084900,36081084900,50.62
"36081024600, NY",36081024600,36081024600,N/A
"36085001700, NY",36085001700,36085001700,35.52
"36005016600, NY",36005016600,36005016600,41.35
"36081022002, NY",36081022002,36081022002,25.46
"36047076800, NY",36047076800,36047076800,47.97
"36081015801, NY",36081015801,36081015801,30.77
"36081019400, NY",36081019400,36081019400,27.74
"36047037402, NY",36047037402,36047037402,35.88
"36085019700, NY",36085019700,36085019700,14.74
"36081038400, NY",36081038400,36081038400,39.24
"36081115100, NY",36081115100,36081115100,27.22
"36047114201, NY",36047114201,36047114201,30
