Census Tract,FIPS Code,Formatted FIPS,Estimated number of households without broadband internet such a
"36047005900, NY",36047005900,36047005900,128
"36081075702, NY",36081075702,36081075702,376
"36081112900, NY",36081112900,36081112900,140
"36081146700, NY",36081146700,36081146700,198
"36081143500, NY",36081143500,36081143500,142
"36047062200, NY",36047062200,36047062200,256
"36005011502, NY",36005011502,36005011502,604
"36047062000, NY",36047062000,36047062000,155
"36005043400, NY",36005043400,36005043400,534
"36081030903, NY",36081030903,36081030903,306
"36005020000, NY",36005020000,36005020000,515
"36005018900, NY",36005018900,36005018900,1167
"36081145102, NY",36081145102,36081145102,118
"36081069000, NY",36081069000,36081069000,388
"36061022900, NY",36061022900,36061022900,999
"36081048900, NY",36081048900,36081048900,92
"36081039400, NY",36081039400,36081039400,445
"36047098200, NY",36047098200,36047098200,684
"36005023800, NY",36005023800,36005023800,232
"36085017300, NY",36085017300,36085017300,370
"36061003300, NY",36061003300,36061003300,207
"36081048500, NY",36081048500,36081048500,258
"36081144100, NY",36081144100,36081144100,143
"36061016700, NY",36061016700,36061016700,385
"36005028800, NY",36005028800,36005028800,246
"36047037000, NY",36047037000,36047037000,427
"36047002200, NY",36047002200,36047002200,647
"36081050000, NY",36081050000,36081050000,648
"36005032600, NY",36005032600,36005032600,362
"36081084601, NY",36081084601,36081084601,238
"36061024302, NY",36061024302,36061024302,1353
"36081125700, NY",36081125700,36081125700,271
"36061021000, NY",36061021000,36061021000,1163
"36061013600, NY",36061013600,36061013600,968
"36047004700, NY",36047004700,36047004700,67
"36061001001, NY",36061001001,36061001001,354
"36005006000, NY",36005006000,36005006000,57
"36005041900, NY",36005041900,36005041900,750
"36081066501, NY",36081066501,36081066501,203
"36047032600, NY",36047032600,36047032600,1050
"36047119800, NY",36047119800,36047119800,302
"36081146300, NY",36081146300,36081146300,199
"36081008600, NY",36081008600,36081008600,188
"36047005201, NY",36047005201,36047005201,461
"36081023200, NY",36081023200,36081023200,466
"36085001100, NY",36085001100,36085001100,371
"36081080301, NY",36081080301,36081080301,402
"36061022301, NY",36061022301,36061022301,943
"36047030500, NY",36047030500,36047030500,813
"36005021800, NY",36005021800,36005021800,735
"36047059402, NY",36047059402,36047059402,464
"36047080800, NY",36047080800,36047080800,234
"36005015700, NY",36005015700,36005015700,612
"36047123700, NY",36047123700,36047123700,751
"36047045300, NY",36047045300,36047045300,231
"36061011600, NY",36061011600,36061011600,365
"36047062600, NY",36047062600,36047062600,236
"36047150200, NY",36047150200,36047150200,126
"36081056700, NY",36081056700,36081056700,237
"36061021703, NY",36061021703,36061021703,0
"36081115700, NY",36081115700,36081115700,482
"36081092500, NY",36081092500,36081092500,490
"36081047500, NY",36081047500,36081047500,250
"36081157102, NY",36081157102,36081157102,60
"36061001300, NY",36061001300,36061001300,145
"36085014100, NY",36085014100,36085014100,211
"36005009200, NY",36005009200,36005009200,547
"36081115900, NY",36081115900,36081115900,439
"36047010100, NY",36047010100,36047010100,514
"36081114700, NY",36081114700,36081114700,168
"36005007800, NY",36005007800,36005007800,804
"36081064500, NY",36081064500,36081064500,150
"36061030900, NY",36061030900,36061030900,1632
"36005026602, NY",36005026602,36005026602,763
"36047119600, NY",36047119600,36047119600,690
"36047001500, NY",36047001500,36047001500,484
"36005015200, NY",36005015200,36005015200,269
"36081084900, NY",36081084900,36081084900,1144
"36081024600, NY",36081024600,36081024600,0
"36085001700, NY",36085001700,36085001700,211
"36005016600, NY",36005016600,36005016600,313
"36081022002, NY",36081022002,36081022002,684
"36047076800, NY",36047076800,36047076800,556
"36081015801, NY",36081015801,36081015801,288
"36081019400, NY",36081019400,36081019400,220
"36047037402, NY",36047037402,36047037402,743
"36085019700, NY",36085019700,36085019700,102
"36081038400, NY",36081038400,36081038400,279
"36081115100, NY",36081115100,36081115100,98
"36047114201, NY",36047114201,36047114201,159
"36081063200, NY",36081063200,36081063200,227
"36047090800, NY",36047090800,36047090800,494
"36047029200, NY",36047029200,36047029200,233
"36081074700, NY",36081074700,36081074700,413
"36005042500, NY",36005042500,36005042500,941
"36005012300, NY",36005012300,36005012300,611
"36047001300, NY",36047001300,36047001300,168
"36047005400, NY",36047005400,36047005400,382
"36047000200, NY",36047000200,36047000200,184
"36081079702, NY",36081079702,36081079702,825
"36005046000, NY",36005046000,36005046000,429
"36047003100, NY",36047003100,36047003100,195
"36061015900, NY",36061015900,36061015900,432
"36081020400, NY",36081020400,36081020400,242
"36081079900, NY",36081079900,36081079900,470
"36081077906, NY",36081077906,36081077906,259
"36005020100, NY",36005020100,36005020100,545
"36047046800, NY",36047046800,36047046800,271
"36047016800, NY",36047016800,36047016800,117
"36081010300, NY",36081010300,36081010300,415
"36047055700, NY",36047055700,36047055700,242
"36061013200, NY",36061013200,36061013200,689
"36047007500, NY",36047007500,36047007500,340
"36081059200, NY",36081059200,36081059200,99
"36081077300, NY",36081077300,36081077300,180
"36081009900, NY",36081009900,36081009900,0
"36047094600, NY",36047094600,36047094600,154
"36047101800, NY",36047101800,36047101800,194
"36081038100, NY",36081038100,36081038100,596
"36081112300, NY",36081112300,36081112300,106
"36047093200, NY",36047093200,36047093200,139
"36005024800, NY",36005024800,36005024800,387
"36061002900, NY",36061002900,36061002900,1345
"36081044302, NY",36081044302,36081044302,486
"36081015802, NY",36081015802,36081015802,446
"36061008603, NY",36061008603,36061008603,343
"36005020501, NY",36005020501,36005020501,1206
"36081077905, NY",36081077905,36081077905,212
"36081051100, NY",36081051100,36081051100,172
