Id,Id2,Geography,total_households,%_household_income_less_10_000,%_household_income_10_000_14_999,%_income_15_000_24_999,%_household_income_25_000_34_999,%_household_income_35_000_49_999,%_household_income_50_000_74_999,%_household_income_75_000_99_999,%_household_income_100_000_149_999,%_household_income_150_000_199_999,%_household_income_200_000_plus,household_income_median,household_income_mean,education_total_population,education_total_pop_high_school,education_total_pop_ged,education_total_pop_associates,education_total_pop_bachelors,education_total_pop_masters,education_total_pop_prof_degree,education_total_pop_doctorate,race_total_population,race_total_black_alone,race_total_black_alone,race_total_am_indian_alaskan_native_alone,race_total_asian_alone,race_total_native_hawaiian_other_pacific_islander_alone,race_total_some_other_race_alone,race_total_two_or_more_races,occupancy_total_population,occupancy_total_owner_occupied,occupancy_total_renter_occupied,insurance_percent,all_below_poverty_level_percent,hisporigin_total,hisporigin_not_hisp_or_latino,hisporigin_hisp_or_latino,median_gross_rent_as_%_of_household_income
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2084,19.6,14.4,13.7,8.3,16.4,16.7,4.4,2.9,0.4,3.2,27136,40147,4023,758,286,110,459,114,9,0,6575,789,1577,26,280,0,3694,209,6575,875,5700,12.5,39.2,6575,1466,5109,40.4
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",728,6.3,3.3,5.2,6.9,8.8,18.7,23.1,15.9,7.3,4.5,77885,86672,1859,311,89,236,253,116,13,6,2809,993,972,129,231,0,388,96,2809,2074,735,7.2,8.9,2809,1087,1722,44
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1937,14.9,16.2,14.1,15.7,11.2,12,7.1,7,1,0.9,30898,48069,4100,799,141,206,436,104,6,8,6587,474,1516,13,6,0,4412,166,5801,611,5190,18.8,36.9,6587,1347,5240,35.2
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1470,19.5,20.3,16.4,13.8,8,9,4.9,5.6,1.9,0.7,22704,42759,2463,707,129,142,192,60,0,0,4046,1573,1238,0,82,0,953,200,4046,483,3563,7.5,42.7,4046,1262,2784,29.8
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",2001,23.5,14.9,9.4,10.2,17.7,10.9,7.4,4.6,1.2,0,27099,35591,3981,926,138,318,257,55,0,0,6093,665,1731,65,20,0,3513,99,5959,162,5797,15.2,40.7,6093,1658,4435,37.6
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1140,28.5,6.3,15.4,11.9,14.8,12.6,7.2,3.2,0,0,24821,33381,1906,481,119,83,209,65,0,0,3373,452,932,49,12,0,1896,32,3370,84,3286,12.4,30.1,3373,811,2562,34.3
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1174,16.7,15.9,11.8,10.2,9.1,14,4.3,9.5,3.4,5,30250,62150,2233,527,143,212,211,59,55,0,3877,1630,1342,36,48,0,729,92,3877,1079,2798,9.8,30.6,3877,1351,2526,29.9
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1802,12.1,7.2,11.5,10.4,12.2,17.3,13.3,9.5,2.8,3.6,44318,59762,3965,1001,363,345,526,239,25,0,6202,1283,1214,0,914,0,2279,512,6202,2225,3977,8.3,20.8,6202,2718,3484,45.8
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1633,20.6,10.4,11.5,11,18.6,15.8,4.8,6.4,1,0,32565,38761,3999,813,193,332,253,91,18,23,6424,437,2125,31,1,0,3696,134,5705,443,5262,18.4,39.2,6424,1942,4482,43
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",766,10.6,10.1,14.8,7.7,8,20.8,14.4,6.4,6,1.4,49130,57184,1780,293,160,140,222,103,15,0,2607,508,712,22,426,0,889,50,2404,951,1453,9.1,18.9,2607,1226,1381,35.4
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1738,3.3,6.3,12.2,8.9,11.4,16.5,12.3,16.3,5.4,7.3,63267,77506,3570,956,120,288,657,215,32,85,5189,2327,1485,0,238,0,991,148,5165,2581,2584,5.9,18,5189,1553,3636,29.8
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",46,17.4,19.6,0,0,0,0,30.4,32.6,0,0,-,72152,77,15,0,12,27,0,0,0,113,0,0,0,0,0,113,0,113,0,113,0,28.3,113,0,113,18.3
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1310,17.3,18.9,18.2,13.5,13.4,7.4,8.2,0,0.8,2.4,22365,40720,2507,445,180,292,263,16,0,0,4568,381,1770,0,0,67,2211,139,4242,368,3874,13,46.8,4568,1554,3014,44.7
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",571,24.9,5.6,23.5,11.7,15.1,7,7.5,3,0,1.8,23125,35834,849,154,78,37,142,0,8,0,1616,107,573,15,0,0,867,54,1616,14,1602,10.3,41.6,1616,503,1113,47.1
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1508,3.3,8.2,4.6,3.4,9.9,15.8,14.3,26.7,5.6,8.2,81667,92683,3059,883,193,343,341,281,64,85,5220,4061,161,0,239,7,621,131,3831,2934,897,5,11.9,5220,4067,1153,24.3
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1877,25.8,8.7,15,14.5,16.7,9.8,5.5,2.7,0.5,0.7,25261,34565,3313,738,204,195,145,63,0,0,5474,623,1861,32,31,0,2724,203,5454,222,5232,18.4,35.8,5474,1725,3749,40.9
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",909,19.7,10.6,16,10,21.3,14.5,3,5,0,0,28777,34924,1817,486,140,128,180,34,7,0,2970,446,958,7,29,0,1447,83,2848,457,2391,16.4,38.5,2970,1065,1905,50.0+
